ensembl_id,gene_symbol
ENSGALG00000000410,TLK2
ENSGALG00000000412,CCDC15
ENSGALG00000000417,SLC16A4
ENSGALG00000000419,HBXIP
ENSGALG00000000420,KLHDC7A
ENSGALG00000000421,HEPACAM
ENSGALG00000000424,CMTM3
ENSGALG00000000426,IGSF21
ENSGALG00000000427,KDM5B
ENSGALG00000000428,CHPKCI
ENSGALG00000000430,SPPL2B
ENSGALG00000000433,
ENSGALG00000000436,RABIF
ENSGALG00000000437,
ENSGALG00000000438,ERMP1
ENSGALG00000000439,AP2S1
ENSGALG00000000441,KCNA10
ENSGALG00000000442,KCNA2
ENSGALG00000000443,
ENSGALG00000000446,
ENSGALG00000000447,CKV1.1
ENSGALG00000000449,ARHGEF10L
ENSGALG00000000451,MEIG1
ENSGALG00000000452,TVB
ENSGALG00000000453,NUP160
ENSGALG00000000454,KPNB1
ENSGALG00000000456,MRPS21
ENSGALG00000000458,TMPRSS9
ENSGALG00000000461,MRC2
ENSGALG00000000463,DDX25
ENSGALG00000000464,RHOBTB2
ENSGALG00000000466,LCK
ENSGALG00000000468,RCC2
ENSGALG00000000469,ADRA1A
ENSGALG00000000470,LMNB2
ENSGALG00000000474,RPL36
ENSGALG00000000476,LRRTM4
ENSGALG00000000477,
ENSGALG00000000478,
ENSGALG00000000479,PADI3
ENSGALG00000000483,PNPLA1
ENSGALG00000000484,TMEM194A
ENSGALG00000000486,PGM2
ENSGALG00000000489,
ENSGALG00000000490,LONP1
ENSGALG00000000495,MCRS1
ENSGALG00000000497,
ENSGALG00000000498,ACE
ENSGALG00000000503,PADI2
ENSGALG00000000504,ETV7
ENSGALG00000000505,
ENSGALG00000000507,CPNE7
ENSGALG00000000508,
ENSGALG00000000509,AIM1L
ENSGALG00000000510,DCAF7
ENSGALG00000000511,KCTD20
ENSGALG00000000513,ZNF276
ENSGALG00000000514,
ENSGALG00000000516,FANCA
ENSGALG00000000518,KLHL12
ENSGALG00000000519,UBXN11
ENSGALG00000000521,SPIRE2
ENSGALG00000000522,
ENSGALG00000000523,STK38
ENSGALG00000000525,MAP3K3
ENSGALG00000000526,
ENSGALG00000000527,SH3BGRL3
ENSGALG00000000528,DBNDD1
ENSGALG00000000529,LIMD2
ENSGALG00000000530,
ENSGALG00000000533,SRSF3
ENSGALG00000000534,IL-1BETA
ENSGALG00000000535,ERRFI1
ENSGALG00000000538,RNF113A
ENSGALG00000000540,GAS8
ENSGALG00000000541,ZC3H11A
ENSGALG00000000542,ZNF593
ENSGALG00000000543,TNFRSF9
ENSGALG00000000544,RAB44
ENSGALG00000000545,REN
ENSGALG00000000546,FBXO38
ENSGALG00000000547,CNKSR1
ENSGALG00000000548,MATN1
ENSGALG00000000549,
ENSGALG00000000550,STRADA
ENSGALG00000000551,C26H6ORF89
ENSGALG00000000556,UTS2
ENSGALG00000000557,ETNK2
ENSGALG00000000558,SLC1A6
ENSGALG00000000560,PI16
ENSGALG00000000562,LAPTM5
ENSGALG00000000564,CCDC47
ENSGALG00000000568,LGR6
ENSGALG00000000569,SDC3
ENSGALG00000000573,PER3
ENSGALG00000000576,RRNAD1
ENSGALG00000000577,RANBP3
ENSGALG00000000579,VAMP3
ENSGALG00000000581,DDX42
ENSGALG00000000583,SOX13
ENSGALG00000000584,
ENSGALG00000000585,MYL4
ENSGALG00000000587,PLEKHA6
ENSGALG00000000589,BTN1A1
ENSGALG00000000593,
ENSGALG00000000596,CDC27
ENSGALG00000000597,PUM1
ENSGALG00000000599,MARCH2
ENSGALG00000000600,PTPN7
ENSGALG00000000603,KANSL1
ENSGALG00000000604,NKAIN1
ENSGALG00000000606,ARL8A
ENSGALG00000000607,GPR37L1
ENSGALG00000000608,CDH1
ENSGALG00000000610,CAMTA1
ENSGALG00000000611,PPP1R15B
ENSGALG00000000613,RAB11B
ENSGALG00000000615,SNRNP40
ENSGALG00000000616,ELF3
ENSGALG00000000618,ZCCHC17
ENSGALG00000000619,ANGPTL4
ENSGALG00000000620,FABP3
ENSGALG00000000621,KANK3
ENSGALG00000000623,PIK3C2B
ENSGALG00000000624,TANGO6
ENSGALG00000000625,MAPT
ENSGALG00000000627,DNAJC11
ENSGALG00000000628,KIF21B
ENSGALG00000000629,
ENSGALG00000000630,HAS3
ENSGALG00000000632,CHTF8
ENSGALG00000000634,KLHL21
ENSGALG00000000636,MDM4
ENSGALG00000000637,ZBTB48
ENSGALG00000000638,CIRH1A
ENSGALG00000000639,LRRN2
ENSGALG00000000641,
ENSGALG00000000642,TAS1R1
ENSGALG00000000643,ANKS3
ENSGALG00000000644,NFASC
